"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-11",,,"85","H,,S","98",",,S","75",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-12",,,"88","H,,S","99",",,S","81",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-13",,,"87","H,,S","98",",,S","79",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-14",,,"86","H,,S",,,"79",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-15",,,"84","H,,S","96",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-16","0.08",",,S","86","H,,S","99",",,S","73",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-17","0.00",",,S","83","H,,S","99",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-18","1.10",",,S","85","H,,S","96",",,S","67",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-19","0.00",",,S","87","H,,S","98",",,S","80",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-20",,,"88","H,,S","98",",,S","80",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-21",,,"88","H,,S","99",",,S","80",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-22",,,"84","H,,S",,,,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-23",,,"85","H,,S","97",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-24",,,"85","H,,S",,,"75",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-25",,,"86","H,,S","95",",,S","78",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-26",,,"88","H,,S","98",",,S","82",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-27",,,"83","H,,S","94",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-28",,,"87","H,,S","103",",,S","71",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-29",,,"88","H,,S","97",",,S","83",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-30",,,"87","H,,S","96",",,S","80",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-01",,,"89","H,,S","100",",,S","83",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-02",,,"88","H,,S","99",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-03",,,"83","H,,S","98",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-04","1.10",",,S","83","H,,S","94",",,S","68",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-05","0.00",",,S","87","H,,S","95",",,S","78",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-06",,,"84","H,,S",,,,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-07",,,"85","H,,S","96",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-08",,,"86","H,,S","97",",,S","76",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-09",,,"87","H,,S","97",",,S","79",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-10",,,"87","H,,S","100",",,S","80",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-11",,,"88","H,,S","101",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-12","0.71",",,S","84","H,,S","99",",,S","73",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-13","0.00",",,S","90","H,,S","103",",,S","77",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-14",,,"85","H,,S","104",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-15",,,"85","H,,S","102",",,S","78",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-16",,,"86","H,,S","103",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-17",,,"87","H,,S","97",",,S","74",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-18",,,"90","H,,S","104",",,S","80",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-19",,,"93","H,,S","108",",,S","83",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-20",,,"90","H,,S","104",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-21","0.00",",,S","87","H,,S","97",",,S","79",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-22",,,"87","H,,S","98",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-23","0.91",",,S","86","H,,S","95",",,S","72",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-24","0.00",",,S","88","H,,S","97",",,S","80",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-25",,,"90","H,,S","97",",,S","83",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-26",,,"89","H,,S","103",",,S","83",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-27",,,"90","H,,S","104",",,S","83",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-28",,,"90","H,,S","101",",,S","83",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-29",,,"91","H,,S","103",",,S","85",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-30",,,"88","H,,S","98",",,S","81",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-05-31",,,"86","H,,S","102",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-06-01",,,"88","H,,S","98",",,S","75",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-06-02",,,"88","H,,S","99",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-06-03",,,"89","H,,S","98",",,S","82",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-06-04",,,"85","H,,S","97",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-06-05",,,"81","H,,S","86",",,S","78",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-06-06",,,"83","H,,S","91",",,S","79",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-06-07",,,"86","H,,S","90",",,S","79",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-06-08","0.02",",,S","84","H,,S","90",",,S","80",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-06-09","0.00",",,S","87","H,,S","99",",,S","81",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-06-10",,,"86","H,,S","97",",,S","82",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-06-11","0.35",",,S","85","H,,S","91",",,S","77",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-06-12","0.00",",,S","87","H,,S","95",",,S","81",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-06-13",,,"85","H,,S","97",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-06-14","1.26",",,S","83","H,,S","92",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-06-15","0.00",",,S","79","H,,S","91",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-06-16","1.18",",,S","80","H,,S","86",",,S","74",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-06-17","0.03",",,S","84","H,,S","95",",,S","77",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-06-18","2.68",",,S","80","H,,S","84",",,S","76",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-06-19","1.42",",,S","83","H,,S","90",",,S","77",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-06-20","0.12",",,S","83","H,,S","90",",,S","79",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-06-21","1.77",",,S","84","H,,S","90",",,S","76",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-06-22","0.00",",,S","83","H,,S","90",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-06-23","0.28",",,S","86","H,,S","92",",,S","80",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-06-24","0.00",",,S","86","H,,S","91",",,S","80",",,S"
